T|23.07.2009 15:00:40:578 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:578 |     |243   |(94)|Telegram iGGANZ(12, 0) received
T|23.07.2009 15:00:40:578 |     |243   |(94)|Telegram ID 2B6 received
I|23.07.2009 15:00:40:578 |     |243   |(94)|Telegram iDFRALLGANZ2 processed
T|23.07.2009 15:00:40:593 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:593 |     |243   |(94)|Telegram iGGANZ(13, 0) received
T|23.07.2009 15:00:40:593 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:593 |     |243   |(94)|Telegram iGGANZ(10, 5281) received
T|23.07.2009 15:00:40:609 |     |243   |(94)|Telegram ID 78 received
I|23.07.2009 15:00:40:609 |     |243   |(94)|Telegram iGGANZ(107, 1) received
